Driver,Owner,Primary_Sponsor,Avg_Finish,Best_Finish,Finish_StdDev,Races_Started,Total_Laps_Led,Avg_Laps_Led_Per_Race,Races_Completed,Top_5_Finishes,Top_10_Finishes,Wins,Top_5_Rate,Top_10_Rate
A.J. Allmendinger,Matthew Kaulig,Other/Unknown,20.75,4,10.11,53,51,0.96,36,3,10,0,5.7,18.9
Alex Bowman,Rick Hendrick,Other/Unknown,19.04,2,12.23,49,165,3.37,36,8,18,0,16.3,36.7
Anthony Alfredo,Beard Motorsports,Other/Unknown,24.5,21,4.95,2,21,10.5,2,0,0,0,0.0,0.0
Anthony Alfredo,Rick Hendrick,Other/Unknown,33.0,33,,1,0,0.0,1,0,0,0,0.0,0.0
Austin Cindric,Team Penske,Other/Unknown,20.38,1,10.4,53,352,6.64,36,3,9,1,5.7,17.0
Austin Dillon,Richard Childress,Other/Unknown,21.21,1,8.37,53,124,2.34,36,1,6,1,1.9,11.3
Austin Hill,Richard Childress,cheddar's Scratch Kitchen,24.92,9,7.44,12,1,0.08,12,0,1,0,0.0,8.3
B.J. Mcleod,B.J. McLeod,Other/Unknown,29.57,16,8.38,7,1,0.14,6,0,0,0,0.0,0.0
Brad Keselowski,Jack Roush,Castrol,18.81,2,11.54,53,382,7.21,36,8,17,0,15.1,32.1
Bubba Wallace,23XI Racing,Other/Unknown,17.92,1,12.01,53,478,9.02,36,9,22,1,17.0,41.5
Burt Myers,Team AmeriVet,Other/Unknown,36.0,36,,1,0,0.0,1,0,0,0,0.0,0.0
Carson Hocevar,Spire Motorsports,Other/Unknown,19.42,1,11.05,53,222,4.19,36,6,16,1,11.3,30.2
Casey Mears,Beard Motorsports,Other/Unknown,36.0,36,,1,0,0.0,1,0,0,0,0.0,0.0
Casey Mears,Carl Long,Other/Unknown,30.5,18,6.6,6,0,0.0,6,0,0,0,0.0,0.0
Chad Finchum,Carl Long,Other/Unknown,33.14,28,3.72,7,8,1.14,5,0,0,0,0.0,0.0
Chase Briscoe,Joe Gibbs,Other/Unknown,14.0,1,11.61,53,1005,18.96,36,20,26,3,37.7,49.1
Chase Elliott,Rick Hendrick,Other/Unknown,12.74,1,10.23,53,729,13.75,36,16,27,4,30.2,50.9
Chris Buescher,Jack Roush,Other/Unknown,13.83,2,8.63,53,122,2.3,36,7,25,0,13.2,47.2
Christopher Bell,Joe Gibbs,Other/Unknown,13.53,1,11.52,53,698,13.17,36,18,28,4,34.0,52.8
Cody Ware,Rick Ware,Other/Unknown,29.79,13,5.4,53,34,0.64,36,0,0,0,0.0,0.0
Cole Custer,Gene Haas,Other/Unknown,24.34,4,7.59,53,11,0.21,36,2,3,0,3.8,5.7
Connor Zilisch,Trackhouse Racing,Other/Unknown,27.55,11,8.53,20,8,0.4,18,0,0,0,0.0,0.0
Corey Heim,23XI Racing,Other/Unknown,20.4,1,11.6,10,80,8.0,9,1,2,1,10.0,20.0
Corey Lajoie,Rick Ware,Other/Unknown,33.25,22,7.8,4,10,2.5,4,0,0,0,0.0,0.0
Daniel Dye,B.J. McLeod,Other/Unknown,26.5,24,3.54,2,0,0.0,2,0,0,0,0.0,0.0
Daniel Suarez,Spire Motorsports,Other/Unknown,13.65,1,7.57,17,38,2.24,17,4,12,1,23.5,70.6
Daniel Suarez,Trackhouse Racing,Other/Unknown,20.89,2,10.5,36,35,0.97,36,4,12,1,11.1,33.3
David Starr,Carl Long,Other/Unknown,29.0,29,,1,0,0.0,1,0,0,0,0.0,0.0
Denny Hamlin,Joe Gibbs,FedEx,12.08,1,11.37,52,1848,35.54,36,23,29,10,44.2,55.8
Erik Jones,Legacy Motor Club,Other/Unknown,19.21,2,9.24,53,28,0.53,36,5,9,0,9.4,17.0
Helio Castroneves,Trackhouse Racing,Other/Unknown,39.0,39,,1,0,0.0,1,0,0,0,0.0,0.0
Jesse Love,Beard Motorsports,Other/Unknown,27.5,24,4.95,2,0,0.0,2,0,0,0,0.0,0.0
Jesse Love,Richard Childress,Other/Unknown,29.4,27,2.61,5,0,0.0,5,0,0,0,0.0,0.0
