date,Austin Hill,cheddar's Scratch Kitchen
2024-12-29,33,20
2025-01-05,33,14
2025-01-12,34,17
2025-01-19,30,14
2025-01-26,31,16
2025-02-02,31,14
2025-02-09,35,14
2025-02-16,39,17
2025-02-23,46,16
2025-03-02,34,14
2025-03-09,34,12
2025-03-16,34,17
2025-03-23,34,14
2025-03-30,41,15
2025-04-06,35,17
2025-04-13,33,14
2025-04-20,37,15
2025-04-27,36,13
2025-05-04,31,17
2025-05-11,33,18
2025-05-18,34,13
2025-05-25,37,11
2025-06-01,38,14
2025-06-08,38,15
2025-06-15,41,18
2025-06-22,38,16
2025-06-29,44,17
2025-07-06,57,17
2025-07-13,43,19
2025-07-20,48,17
2025-07-27,100,18
2025-08-03,59,16
2025-08-10,50,16
2025-08-17,41,17
2025-08-24,36,20
2025-08-31,39,17
2025-09-07,38,15
2025-09-14,37,13
2025-09-21,39,13
2025-09-28,40,14
2025-10-05,37,15
2025-10-12,38,15
2025-10-19,43,13
2025-10-26,38,12
2025-11-02,36,16
2025-11-09,37,14
2025-11-16,34,16
2025-11-23,33,15
2025-11-30,33,12
2025-12-07,35,14
2025-12-14,30,12
2025-12-21,36,15
2025-12-28,43,17
2026-01-04,39,16
2026-01-11,38,15
2026-01-18,38,13
2026-01-25,46,12
2026-02-01,47,13
2026-02-08,45,18
2026-02-15,66,19
2026-02-22,52,14
2026-03-01,52,14
2026-03-08,51,14
2026-03-15,49,14
2026-03-22,45,16
2026-03-29,47,14
2026-04-05,48,14
2026-04-12,49,13
2026-04-19,45,14
2026-04-26,46,12
2026-05-03,46,26
2026-05-10,47,17
2026-05-17,67,14
2026-05-24,83,14
2026-05-31,53,14
2026-06-07,57,14
2026-06-14,51,13
2026-06-21,72,14
2026-06-28,42,12
