primary_sponsor,race_number,Visibility_Score_Shifted
Busch Light,1,1.22
Castrol,1,0.9199999999999999
Love's Travel Stops,1,0.35999999999999993
Progressive,1,1.47
Busch Light,2,1.05
Castrol,2,0.86
Love's Travel Stops,2,0.17999999999999994
Progressive,2,1.46
Busch Light,3,1.0699999999999998
Castrol,3,1.1
Love's Travel Stops,3,0.4799999999999999
Progressive,3,1.46
Busch Light,4,0.87
Castrol,4,0.7999999999999999
Love's Travel Stops,4,0.17999999999999994
Progressive,4,1.58
Busch Light,5,0.69
Castrol,5,1.15
Love's Travel Stops,5,0.24
Progressive,5,3.54
Busch Light,6,1.33
Castrol,6,0.6799999999999999
Love's Travel Stops,6,0.17999999999999994
Progressive,6,1.87
Busch Light,7,0.8099999999999999
Castrol,7,1.3599999999999999
Love's Travel Stops,7,0.29999999999999993
Progressive,7,2.75
Busch Light,8,1.03
Castrol,8,0.9199999999999999
Cheddar's Scratch Kitchen,8,1.7
Love's Travel Stops,8,0.24
Progressive,8,1.88
Busch Light,9,1.0699999999999998
Castrol,9,1.04
Love's Travel Stops,9,0.21999999999999997
Progressive,9,2.2199999999999998
Busch Light,10,1.05
Castrol,10,0.98
Love's Travel Stops,10,0.29999999999999993
Progressive,10,1.9899999999999998
Busch Light,11,0.6299999999999999
Castrol,11,1.1
Love's Travel Stops,11,0.24
Progressive,11,1.29
Busch Light,12,1.83
Castrol,12,1.52
Love's Travel Stops,12,0.29999999999999993
Progressive,12,2.58
Busch Light,13,1.35
Castrol,13,0.86
Love's Travel Stops,13,0.24
Progressive,13,1.5099999999999998
Busch Light,14,0.9299999999999999
Castrol,14,0.7999999999999999
Love's Travel Stops,14,0.24
Progressive,14,1.8199999999999998
Busch Light,15,1.1
Castrol,15,0.98
Love's Travel Stops,15,0.35999999999999993
Progressive,15,2.18
Busch Light,16,1.1
Castrol,16,0.7999999999999999
Love's Travel Stops,16,0.29999999999999993
Busch Light,17,0.69
Castrol,17,1.22
Love's Travel Stops,17,0.24
Progressive,17,1.7599999999999998
Busch Light,18,0.61
Castrol,18,1.1
Love's Travel Stops,18,0.2899999999999999
Progressive,18,1.7599999999999998
Busch Light,19,1.23
Castrol,19,0.7999999999999999
Cheddar's Scratch Kitchen,19,1.8199999999999998
Love's Travel Stops,19,0.17999999999999994
Progressive,19,1.64
Busch Light,20,0.75
Castrol,20,0.6499999999999999
Love's Travel Stops,20,0.53
Progressive,20,1.64
Busch Light,21,0.98
Castrol,21,0.9199999999999999
Love's Travel Stops,21,0.17999999999999994
Progressive,21,1.29
Busch Light,22,0.9299999999999999
Castrol,22,0.86
Love's Travel Stops,22,0.22999999999999998
Progressive,22,1.88
Busch Light,23,0.53
Castrol,23,0.41999999999999993
Love's Travel Stops,23,0.41
Progressive,23,0.24
Busch Light,24,0.29999999999999993
Castrol,24,0.35999999999999993
Love's Travel Stops,24,0.12
Progressive,24,1.56
Busch Light,25,0.41999999999999993
Castrol,25,1.01
Love's Travel Stops,25,0.05999999999999994
Progressive,25,0.72
Busch Light,26,1.17
Castrol,26,0.5399999999999999
Cheddar's Scratch Kitchen,26,0.75
Love's Travel Stops,26,0.12
Progressive,26,2.2399999999999998
Busch Light,27,0.17999999999999994
Castrol,27,0.17999999999999994
Love's Travel Stops,27,0.12
Progressive,27,1.19
Busch Light,28,0.71
Castrol,28,0.86
Love's Travel Stops,28,0.05999999999999994
Progressive,28,1.7999999999999998
Busch Light,29,0.17999999999999994
Castrol,29,0.29999999999999993
Cheddar's Scratch Kitchen,29,0.0
Love's Travel Stops,29,0.05999999999999994
Progressive,29,0.17999999999999994
Busch Light,30,0.12
Castrol,30,0.35999999999999993
Love's Travel Stops,30,0.17999999999999994
Progressive,30,0.6599999999999999
Busch Light,31,1.01
Castrol,31,0.24
Love's Travel Stops,31,0.12
Progressive,31,0.72
Busch Light,32,0.5399999999999999
Castrol,32,0.4799999999999999
Love's Travel Stops,32,0.17999999999999994
Progressive,32,2.07
Busch Light,33,0.41
Castrol,33,0.24
Love's Travel Stops,33,0.8099999999999999
Progressive,33,1.65
Busch Light,34,0.59
Castrol,34,0.12
Cheddar's Scratch Kitchen,34,0.9299999999999999
Love's Travel Stops,34,0.6499999999999999
Progressive,34,1.26
Busch Light,35,0.35999999999999993
Castrol,35,0.24
Love's Travel Stops,35,0.17999999999999994
Progressive,35,0.8999999999999999
Busch Light,36,3.52
Castrol,36,4.58
Love's Travel Stops,36,2.21
Progressive,36,10.76
Busch Light,37,0.41999999999999993
Castrol,37,0.9299999999999999
Love's Travel Stops,37,0.6499999999999999
Progressive,37,1.08
Busch Light,38,0.5399999999999999
Castrol,38,0.24
Love's Travel Stops,38,0.12
Progressive,38,0.57
Busch Light,39,0.29999999999999993
Castrol,39,0.24
Love's Travel Stops,39,0.12
Progressive,39,0.76
Busch Light,40,0.07999999999999996
Castrol,40,0.24
Cheddar's Scratch Kitchen,40,0.12
Love's Travel Stops,40,0.05999999999999994
Progressive,40,0.61
Busch Light,41,0.47
Castrol,41,0.17999999999999994
Love's Travel Stops,41,0.12
Progressive,41,0.95
Busch Light,42,0.1399999999999999
Castrol,42,1.28
Love's Travel Stops,42,0.12
Progressive,42,0.35999999999999993
Busch Light,43,0.71
Castrol,43,0.24
Cheddar's Scratch Kitchen,43,0.51
Love's Travel Stops,43,0.24
Progressive,43,1.69
Busch Light,44,0.24
Castrol,44,0.05999999999999994
Love's Travel Stops,44,0.17999999999999994
Progressive,44,0.7799999999999999
Busch Light,45,0.6299999999999999
Castrol,45,0.47
Love's Travel Stops,45,0.05999999999999994
Progressive,45,0.72
Busch Light,46,0.29999999999999993
Castrol,46,0.82
Love's Travel Stops,46,0.24
Progressive,46,0.6
Busch Light,47,0.41999999999999993
Castrol,47,0.6599999999999999
Love's Travel Stops,47,0.05999999999999994
Progressive,47,0.75
Busch Light,48,0.6
Castrol,48,0.6
Love's Travel Stops,48,0.4799999999999999
Progressive,48,1.49
Busch Light,49,0.29999999999999993
Castrol,49,0.41999999999999993
Cheddar's Scratch Kitchen,49,0.5399999999999999
Love's Travel Stops,49,0.05999999999999994
Progressive,49,1.14
Busch Light,50,0.41999999999999993
Castrol,50,0.2599999999999999
Cheddar's Scratch Kitchen,50,0.5399999999999999
Love's Travel Stops,50,0.24
Progressive,50,1.3599999999999999
Busch Light,51,0.29999999999999993
Castrol,51,0.12
Cheddar's Scratch Kitchen,51,0.24
Love's Travel Stops,51,0.12
Progressive,51,1.98
Busch Light,52,0.24
Castrol,52,0.53
Cheddar's Scratch Kitchen,52,0.35999999999999993
Love's Travel Stops,52,0.12
Progressive,52,0.7799999999999999
Busch Light,53,0.17999999999999994
Castrol,53,0.39999999999999997
Cheddar's Scratch Kitchen,53,1.1099999999999999
Love's Travel Stops,53,0.17999999999999994
Progressive,53,0.8999999999999999
