year,race_num,track,track_type,fin,start,car_num,driver,manu,team_name,laps,laps_led,status,points,stage_1,stage_2,stage_3_or_duel,stage_points
2024,-1,Daytona,superspeedway,1,19,45,Tyler Reddick,Toyota,23XI Racing,60,1,running,,,,1.0,10
2024,-1,Daytona,superspeedway,2,3,9,Chase Elliott,Chevrolet,Hendrick Motorsports,60,0,running,,,,2.0,9
2024,-1,Daytona,superspeedway,3,9,48,Alex Bowman,Chevrolet,Hendrick Motorsports,60,0,running,,,,3.0,8
2024,-1,Daytona,superspeedway,4,20,77,Carson Hocevar,Chevrolet,Spire Motorsports,60,0,running,,,,4.0,7
2024,-1,Daytona,superspeedway,5,12,43,Erik Jones,Toyota,Legacy Motor Club,60,5,running,,,,5.0,6
2024,-1,Daytona,superspeedway,6,10,99,Daniel Suarez,Chevrolet,Trackhouse Racing,60,2,running,,,,6.0,5
2024,-1,Daytona,superspeedway,7,1,22,Joey Logano,Ford,Team Penske,60,1,running,,,,7.0,4
2024,-1,Daytona,superspeedway,8,15,54,Ty Gibbs,Toyota,Joe Gibbs Racing,60,0,running,,,,8.0,3
2024,-1,Daytona,superspeedway,9,2,5,Kyle Larson,Chevrolet,Hendrick Motorsports,60,20,running,,,,9.0,2
2024,-1,Daytona,superspeedway,10,8,17,Chris Buescher,Ford,RFK Racing,60,0,running,,,,10.0,1
2024,-1,Daytona,superspeedway,11,5,1,Ross Chastain,Chevrolet,Trackhouse Racing,60,0,running,,,,,0
2024,-1,Daytona,superspeedway,12,18,84,Jimmie Johnson,Toyota,Legacy Motor Club,60,0,running,,,,,0
2024,-1,Daytona,superspeedway,13,7,41,Ryan Preece,Ford,Stewart-Haas Racing,60,0,running,,,,,0
2024,-1,Daytona,superspeedway,14,14,19,"Martin Truex, Jr.",Toyota,Joe Gibbs Racing,60,14,running,,,,,0
2024,-1,Daytona,superspeedway,15,17,7,Corey LaJoie,Chevrolet,Spire Motorsports,60,1,running,,,,,0
2024,-1,Daytona,superspeedway,16,21,44,J.J. Yeley,Chevrolet,NY Racing Team,60,0,running,,,,,0
2024,-1,Daytona,superspeedway,17,6,38,Todd Gilliland,Ford,Front Row Motorsports,60,1,running,,,,,0
2024,-1,Daytona,superspeedway,18,4,3,Austin Dillon,Chevrolet,Richard Childress Racing,60,0,running,,,,,0
2024,-1,Daytona,superspeedway,19,11,62,Anthony Alfredo,Chevrolet,Beard Motorsports,59,0,running,,,,,0
2024,-1,Daytona,superspeedway,20,16,47,"Ricky Stenhouse, Jr.",Chevrolet,JTG Daugherty Racing,51,15,dvp,,,,,0
2024,-1,Daytona,superspeedway,21,13,31,Daniel Hemric,Chevrolet,Kaulig Racing,49,0,accident,,,,,0
2024,-2,Daytona,superspeedway,1,16,20,Christopher Bell,Toyota,Joe Gibbs Racing,60,1,running,,,,1.0,10
2024,-2,Daytona,superspeedway,2,2,2,Austin Cindric,Ford,Team Penske,60,0,running,,,,2.0,9
2024,-2,Daytona,superspeedway,3,17,11,Denny Hamlin,Toyota,Joe Gibbs Racing,60,5,running,,,,3.0,8
2024,-2,Daytona,superspeedway,4,19,42,John Hunter Nemechek,Toyota,Legacy Motor Club,60,0,running,,,,4.0,7
2024,-2,Daytona,superspeedway,5,5,21,Harrison Burton,Ford,Wood Brothers Racing,60,1,running,,,,5.0,6
2024,-2,Daytona,superspeedway,6,18,71,Zane Smith,Chevrolet,Spire Motorsports,60,0,running,,,,6.0,5
2024,-2,Daytona,superspeedway,7,12,6,Brad Keselowski,Ford,RFK Racing,60,0,running,,,,7.0,4
2024,-2,Daytona,superspeedway,8,3,24,William Byron,Chevrolet,Hendrick Motorsports,60,5,running,,,,8.0,3
2024,-2,Daytona,superspeedway,9,7,14,Chase Briscoe,Ford,Stewart-Haas Racing,60,0,running,,,,9.0,2
2024,-2,Daytona,superspeedway,10,15,51,Justin Haley,Ford,Rick Ware Racing,60,0,running,,,,10.0,1
2024,-2,Daytona,superspeedway,11,14,23,Bubba Wallace,Toyota,23XI Racing,60,21,running,,,,,0
2024,-2,Daytona,superspeedway,12,21,36,Kaz Grala,Ford,Front Row Motorsports,60,0,running,,,,,0
2024,-2,Daytona,superspeedway,13,10,16,A.J. Allmendinger,Chevrolet,Kaulig Racing,60,2,running,,,,,0
2024,-2,Daytona,superspeedway,14,20,78,B.J. McLeod,Chevrolet,Live Fast Motorsports,60,0,running,,,,,0
2024,-2,Daytona,superspeedway,15,13,60,David Ragan,Ford,RFK Racing,60,0,running,,,,,0
2024,-2,Daytona,superspeedway,16,1,34,Michael McDowell,Ford,Front Row Motorsports,60,17,running,,,,,0
2024,-2,Daytona,superspeedway,17,11,4,Josh Berry,Ford,Stewart-Haas Racing,48,0,fuel pump,,,,,0
2024,-2,Daytona,superspeedway,18,9,12,Ryan Blaney,Ford,Team Penske,47,1,accident,,,,,0
2024,-2,Daytona,superspeedway,19,4,8,Kyle Busch,Chevrolet,Richard Childress Racing,47,0,accident,,,,,0
2024,-2,Daytona,superspeedway,20,6,15,Riley Herbst,Ford,Rick Ware Racing,47,7,accident,,,,,0
2024,-2,Daytona,superspeedway,21,8,10,Noah Gragson,Ford,Stewart-Haas Racing,47,0,accident,,,,,0
2024,1,Daytona,superspeedway,1,18,24,William Byron,Chevrolet,Hendrick Motorsports,200,4,running,51.0,5.0,6.0,,11
2024,1,Daytona,superspeedway,2,7,48,Alex Bowman,Chevrolet,Hendrick Motorsports,200,0,running,42.0,4.0,18.0,,7
2024,1,Daytona,superspeedway,3,4,20,Christopher Bell,Toyota,Joe Gibbs Racing,200,22,running,34.0,30.0,20.0,,0
2024,1,Daytona,superspeedway,4,29,7,Corey LaJoie,Chevrolet,Spire Motorsports,200,1,running,33.0,13.0,11.0,,0
2024,1,Daytona,superspeedway,5,24,23,Bubba Wallace,Toyota,23XI Racing,200,3,running,39.0,8.0,7.0,,7
2024,1,Daytona,superspeedway,6,28,16,A.J. Allmendinger,Chevrolet,Kaulig Racing,200,9,running,0.0,34.0,9.0,,0
2024,1,Daytona,superspeedway,7,10,42,John Hunter Nemechek,Toyota,Legacy Motor Club,200,0,running,30.0,15.0,30.0,,0
2024,1,Daytona,superspeedway,8,11,43,Erik Jones,Toyota,Legacy Motor Club,200,0,running,29.0,17.0,13.0,,0
2024,1,Daytona,superspeedway,9,38,10,Noah Gragson,Ford,Stewart-Haas Racing,200,5,running,28.0,28.0,24.0,,0
2024,1,Daytona,superspeedway,10,20,14,Chase Briscoe,Ford,Stewart-Haas Racing,200,0,running,27.0,18.0,25.0,,0
2024,1,Daytona,superspeedway,11,17,5,Kyle Larson,Chevrolet,Hendrick Motorsports,200,7,running,35.0,2.0,16.0,,9
2024,1,Daytona,superspeedway,12,34,8,Kyle Busch,Chevrolet,Richard Childress Racing,200,12,running,37.0,6.0,4.0,,12
2024,1,Daytona,superspeedway,13,14,71,Zane Smith,Chevrolet,Spire Motorsports,200,0,running,24.0,23.0,29.0,,0
2024,1,Daytona,superspeedway,14,5,9,Chase Elliott,Chevrolet,Hendrick Motorsports,200,13,running,33.0,1.0,19.0,,10
2024,1,Daytona,superspeedway,15,27,19,"Martin Truex, Jr.",Toyota,Joe Gibbs Racing,200,0,running,24.0,9.0,14.0,,2
2024,1,Daytona,superspeedway,16,37,31,Daniel Hemric,Chevrolet,Kaulig Racing,200,0,running,21.0,31.0,15.0,,0
2024,1,Daytona,superspeedway,17,15,54,Ty Gibbs,Toyota,Joe Gibbs Racing,200,0,running,20.0,16.0,31.0,,0
2024,1,Daytona,superspeedway,18,19,17,Chris Buescher,Ford,RFK Racing,200,0,running,20.0,22.0,10.0,,1
2024,1,Daytona,superspeedway,19,8,11,Denny Hamlin,Toyota,Joe Gibbs Racing,200,10,running,22.0,7.0,22.0,,4
2024,1,Daytona,superspeedway,20,40,60,David Ragan,Ford,RFK Racing,200,2,running,17.0,26.0,26.0,,0
