sponsor,url,title,domain,seendate,source_method,mention_type,event,source_tier,tier_weight,seendate_str,race_number,race_name,merge_key
Progressive,https://www.motorsport.com/nascar-cup/news/hamlin-domination-and-no-respect-winners-and-losers-from-martinsville/10708644/,,motorsport.com,2025-03-31 22:30:00,bq_candidate_scrape,primary,,Tier 2,0.8,2025-03-31,7,2025 Cook Out 400,7_Progressive
Progressive,https://www.motorsport.com/nascar-cup/news/denny-hamlin-wins-martinsville-cup-toyota-bell-wallace/10708426/,,motorsport.com,2025-03-31 02:45:00,bq_candidate_scrape,primary,,Tier 2,0.8,2025-03-31,7,2025 Cook Out 400,7_Progressive
Progressive,https://www.motorsport.com/nascar-cup/news/denny-hamlin-and-jgr-secure-major-sponsorship-deal-with-progressive/10704738/,,motorsport.com,2025-03-19 03:00:00,bq_candidate_scrape,primary,,Tier 2,0.8,2025-03-19,5,2025 Pennzoil 400,5_Progressive
Progressive,https://speedwaymedia.com/2025/03/23/nascar-top-10-power-rankings-homestead-16/,,speedwaymedia.com,2025-03-24 02:00:00,bq_candidate_scrape,secondary,,Tier 3,0.6,2025-03-24,6,2025 Straight Talk Wireless 400,6_Progressive
Progressive,https://racer.com/2025/04/27/buescher-and-company-frustrated-by-early-talladega-exit/,,racer.com,2025-04-29 15:45:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-04-29,10,2025 Jack Links 500,10_Progressive
Progressive,https://racer.com/2025/04/13/larson-dominates-in-emotional-cup-series-victory-at-bristol/,,racer.com,2025-04-14 18:15:00,bq_candidate_scrape,secondary,,Tier 3,0.6,2025-04-14,9,2025 Food City 500,9_Progressive
Progressive,https://www.motorsport.com/nascar-cup/news/another-mechanical-issue-ends-denny-hamlins-day-early/10721966/,,motorsport.com,2025-05-12 05:45:00,bq_candidate_scrape,primary,multiple dnfs,Tier 2,0.8,2025-05-12,12,2025 AdventHealth 400,12_Progressive
Progressive,https://www.motorsport.com/nascar-cup/news/denny-hamlin-wins-dramatic-dover-nascar-cup-race-double-overtime/10743784/,,motorsport.com,2025-07-21 00:15:00,bq_candidate_scrape,primary,dramatic win,Tier 2,0.8,2025-07-21,21,2025 Autotrader EchoPark Automotive 400,21_Progressive
Progressive,https://speedwaymedia.com/2025/07/20/nascar-top-10-power-rankings-dover-25/,,speedwaymedia.com,2025-07-21 07:15:00,bq_candidate_scrape,secondary,1st ranked power rankings,Tier 3,0.6,2025-07-21,21,2025 Autotrader EchoPark Automotive 400,21_Progressive
Progressive,https://www.motorsport.com/nascar-cup/news/denny-hamlin-earns-toyota-200th-nascar-cup-win-gateway/10757692/,,motorsport.com,2025-09-08 00:15:00,bq_candidate_scrape,primary,200th win for toyota,Tier 2,0.8,2025-09-08,28,2025 Enjoy Illinois 300,28_Progressive
Progressive,https://www.si.com/onsi/racing-america/news/nascar-live-race-updates-enjoy-illinois-300-at-wwt-raceway-at-gateway,,si.com,2025-09-08 03:15:00,bq_candidate_scrape,secondary,strong playoff start,Tier 3,0.6,2025-09-08,28,2025 Enjoy Illinois 300,28_Progressive
Progressive,https://speedwaymedia.com/2025/09/07/hamlin-wins-the-nascar-cup-series-enjoy-illinois-300-at-wwtr/,,speedwaymedia.com,2025-09-08 03:30:00,bq_candidate_scrape,primary,playoff win,Tier 3,0.6,2025-09-08,28,2025 Enjoy Illinois 300,28_Progressive
Progressive,https://speedwaymedia.com/2025/09/03/toyota-200-nascar-cup-series-wins-stats-and-quotes/,,speedwaymedia.com,2025-09-03 17:00:00,bq_candidate_scrape,primary,200th win for toyota,Tier 3,0.6,2025-09-03,27,2025 Southern 500,27_Progressive
Progressive,https://speedwaymedia.com/2025/09/07/hamlin-adds-another-milestone-delivers-200th-cup-series-win-for-toyota/,,speedwaymedia.com,2025-09-08 03:30:00,bq_candidate_scrape,primary,200th win for toyota,Tier 3,0.6,2025-09-08,28,2025 Enjoy Illinois 300,28_Progressive
Progressive,https://speedwaymedia.com/2025/11/02/kyle-larson-rallies-for-second-cup-series-championship-ryan-blaney-scores-thrilling-overtime-victory-at-phoenix/,,speedwaymedia.com,2025-11-03 03:30:00,bq_candidate_scrape,secondary,exciting overtime finish(6th place),Tier 3,0.6,2025-11-03,36,2025 Cup Series Championship,36_Progressive
Progressive,https://speedwaymedia.com/2025/11/01/denny-hamlin-wins-pole-position-for-2025-cup-series-finale-at-phoenix/,,speedwaymedia.com,2025-11-02 03:15:00,bq_candidate_scrape,primary,playoff pole,Tier 3,0.6,2025-11-02,36,2025 Cup Series Championship,36_Progressive
Progressive,https://speedwaymedia.com/2026/03/06/super-com-partners-with-rick-ware-racing-and-driver-cody-ware-for-nascar-cup-series-race-weekend-at-phoenix/,,speedwaymedia.com,2026-03-07 01:15:00,bq_candidate_scrape,,,Tier 3,0.6,2026-03-07,39,2026 DuraMax Texas Grand Prix,39_Progressive
Cheddar's Scratch Kitchen,https://speedwaymedia.com/2025/08/24/chevrolet-ncs-at-daytona-2-post-race-report-2/,,speedwaymedia.com,2025-08-24 15:15:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-08-24,26,2025 Coke Zero Sugar 400,26_Cheddar's Scratch Kitchen
Cheddar's Scratch Kitchen,https://speedwaymedia.com/2025/08/03/chevrolet-ncs-byron-drives-chevrolet-to-first-nascar-cup-series-win-at-iowa-speedway/,,speedwaymedia.com,2025-08-04 03:15:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-08-04,23,2025 Iowa Corn 350,23_Cheddar's Scratch Kitchen
Cheddar's Scratch Kitchen,https://speedwaymedia.com/2025/08/21/rcr-race-preview-daytona-international-speedway-4/,,speedwaymedia.com,2025-08-21 22:00:00,bq_candidate_scrape,secondary,,Tier 3,0.6,2025-08-21,25,2025 Cook Out 400,25_Cheddar's Scratch Kitchen
Cheddar's Scratch Kitchen,https://speedwaymedia.com/2025/08/24/rcr-ncs-race-recap-daytona-international-speedway-4/,,speedwaymedia.com,2025-08-24 15:15:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-08-24,26,2025 Coke Zero Sugar 400,26_Cheddar's Scratch Kitchen
Cheddar's Scratch Kitchen,https://speedwaymedia.com/2025/09/27/chase-briscoe-tops-qualifying-scores-cup-series-pole-at-kansas/,,speedwaymedia.com,2025-09-27 22:15:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-09-27,30,2025 Mobil 1 301,30_Cheddar's Scratch Kitchen
Cheddar's Scratch Kitchen,https://speedwaymedia.com/2025/10/16/rcr-race-preview-talladega-superspeedway-4/,,speedwaymedia.com,2025-10-16 20:30:00,bq_candidate_scrape,secondary,,Tier 3,0.6,2025-10-16,33,2025 South Point 400,33_Cheddar's Scratch Kitchen
Cheddar's Scratch Kitchen,https://speedwaymedia.com/2025/10/19/chevrolet-ncs-at-talladega-2-post-race-report-2/,,speedwaymedia.com,2025-10-20 00:15:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-10-20,34,2025 Yellawood 500,34_Cheddar's Scratch Kitchen
Cheddar's Scratch Kitchen,https://speedwaymedia.com/2025/10/19/rcr-ncs-race-recap-talladega-superspeedway-3/,,speedwaymedia.com,2025-10-20 00:15:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-10-20,34,2025 Yellawood 500,34_Cheddar's Scratch Kitchen
Love's Travel Stops,https://speedwaymedia.com/2025/07/12/shane-van-gisbergen-dominates-sonoma-with-cup-series-pole/,,speedwaymedia.com,2025-07-13 05:30:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-07-13,20,2025 Toyota Save Mart 350,20_Love's Travel Stops
Love's Travel Stops,https://speedwaymedia.com/2025/08/08/corey-heim-survives-triple-overtime-to-claim-watkins-glen-truck-series-victory/,,speedwaymedia.com,2025-08-09 04:15:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-08-09,23,2025 Iowa Corn 350,23_Love's Travel Stops
Love's Travel Stops,https://frontstretch.com/2025/10/17/nascar-tv-schedule-this-weekend-talladega-channels-times/,,frontstretch.com,2025-10-17 11:45:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-10-17,33,2025 South Point 400,33_Love's Travel Stops
Love's Travel Stops,https://speedwaymedia.com/2025/10/19/ford-racing-notes-and-quotes-talladega-cup-series-post-race-quotes/,,speedwaymedia.com,2025-10-20 00:15:00,bq_candidate_scrape,secondary,,Tier 3,0.6,2025-10-20,34,2025 Yellawood 500,34_Love's Travel Stops
Love's Travel Stops,https://speedwaymedia.com/2025/10/11/denny-hamlin-secures-cup-series-pole-at-las-vegas/,,speedwaymedia.com,2025-10-12 06:00:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-10-12,33,2025 South Point 400,33_Love's Travel Stops
Love's Travel Stops,https://speedwaymedia.com/2026/02/15/loganos-third-place-finish-tops-ford-in-daytona-500-as-five-ford-mustang-dark-horses-finish-in-the-top-10/,,speedwaymedia.com,2026-02-16 03:00:00,bq_candidate_scrape,passing,,Tier 3,0.6,2026-02-16,37,2026 Daytona 500,37_Love's Travel Stops
Busch Light,https://speedwaymedia.com/2025/02/16/william-byron-chevrolet-wins-2025-daytona-500/,,speedwaymedia.com,2025-02-17 15:00:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-02-17,1,2025 Daytona 500,1_Busch Light
Busch Light,https://speedwaymedia.com/2025/05/19/chevrolet-takes-the-2025-manufacturer-showdown-at-the-nascar-all-star-race/,,speedwaymedia.com,2025-05-19 15:00:00,bq_candidate_scrape,secondary,,Tier 3,0.6,2025-05-19,12,2025 AdventHealth 400,12_Busch Light
Busch Light,https://speedwaymedia.com/2025/05/14/team-chevy-nascar-race-advance-north-wilkesboro-speedway-3/,,speedwaymedia.com,2025-05-14 21:45:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-05-14,12,2025 AdventHealth 400,12_Busch Light
Busch Light,https://speedwaymedia.com/2025/05/11/nascar-top-10-power-rankings-kansas-29/,,speedwaymedia.com,2025-05-12 03:15:00,bq_candidate_scrape,secondary,10th ranked power rankings,Tier 3,0.6,2025-05-12,12,2025 AdventHealth 400,12_Busch Light
Busch Light,https://speedwaymedia.com/2025/06/08/nascar-top-10-power-rankings-michigan-21/,,speedwaymedia.com,2025-06-09 05:00:00,bq_candidate_scrape,secondary,4th ranked power rankings,Tier 3,0.6,2025-06-09,15,2025 Firekeepers Casino 400,15_Busch Light
Busch Light,https://speedwaymedia.com/2025/07/06/nascar-top-10-power-rankings-chicago-street-race-2/,,speedwaymedia.com,2025-07-07 00:45:00,bq_candidate_scrape,secondary,9th ranked power rankings,Tier 3,0.6,2025-07-07,19,2025 Grant Park 165,19_Busch Light
Busch Light,https://speedwaymedia.com/2025/07/23/team-chevy-nascar-race-advance-indianapolis-2/,,speedwaymedia.com,2025-07-24 02:00:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-07-24,21,2025 Autotrader EchoPark Automotive 400,21_Busch Light
Busch Light,https://speedwaymedia.com/2025/08/03/chevrolet-ncs-byron-drives-chevrolet-to-first-nascar-cup-series-win-at-iowa-speedway/,,speedwaymedia.com,2025-08-04 03:15:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-08-04,23,2025 Iowa Corn 350,23_Busch Light
Busch Light,https://speedwaymedia.com/2025/09/07/hamlin-wins-the-nascar-cup-series-enjoy-illinois-300-at-wwtr/,,speedwaymedia.com,2025-09-08 03:30:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-09-08,28,2025 Enjoy Illinois 300,28_Busch Light
Busch Light,https://speedwaymedia.com/2025/10/19/chevrolet-ncs-at-talladega-2-post-race-report-2/,,speedwaymedia.com,2025-10-20 00:15:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-10-20,34,2025 Yellawood 500,34_Busch Light
Busch Light,https://speedwaymedia.com/2025/10/15/team-chevy-nascar-race-advance-talladega-superspeedway-2-2/,,speedwaymedia.com,2025-10-16 01:00:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-10-16,33,2025 South Point 400,33_Busch Light
Busch Light,https://speedwaymedia.com/2026/02/13/chevrolet-ncs-at-daytona-duels-post-race-report/,,speedwaymedia.com,2026-02-13 14:30:00,bq_candidate_scrape,passing,,Tier 3,0.6,2026-02-13,36,2025 Cup Series Championship,36_Busch Light
Castrol,https://speedwaymedia.com/2025/03/16/josh-berry-wins-first-cup-series-race-101st-for-wood-brothers-racing/,,speedwaymedia.com,2025-03-17 00:30:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-03-17,5,2025 Pennzoil 400,5_Castrol
Castrol,https://speedwaymedia.com/2025/07/12/shane-van-gisbergen-dominates-sonoma-with-cup-series-pole/,,speedwaymedia.com,2025-07-13 05:30:00,bq_candidate_scrape,passing,,Tier 3,0.6,2025-07-13,20,2025 Toyota Save Mart 350,20_Castrol
Castrol,https://speedwaymedia.com/2026/02/16/keselowskis-comeback-headlines-strong-rfk-showing-at-daytona/,,speedwaymedia.com,2026-02-16 17:00:00,bq_candidate_scrape,primary,comeback win,Tier 3,0.6,2026-02-16,37,2026 Daytona 500,37_Castrol
Castrol,https://speedwaymedia.com/2026/02/15/loganos-third-place-finish-tops-ford-in-daytona-500-as-five-ford-mustang-dark-horses-finish-in-the-top-10/,,speedwaymedia.com,2026-02-16 03:00:00,bq_candidate_scrape,passing,,Tier 3,0.6,2026-02-16,37,2026 Daytona 500,37_Castrol
Castrol,https://speedwaymedia.com/2026/02/10/rfk-racing-daytona-500-advance/,,speedwaymedia.com,2026-02-10 21:30:00,bq_candidate_scrape,secondary,,Tier 3,0.6,2026-02-10,36,2025 Cup Series Championship,36_Castrol
Cheddar's Scratch Kitchen,https://speedwaymedia.com/2026/04/23/rcr-race-preview-talladega-superspeedway-5/,,speedwaymedia.com,2026-04-24 01:15:00,bq_candidate_scrape,primary,race preview,Tier 3,0.6,2026-04-24,45,2026 AdventHealth 400,45_Cheddar's Scratch Kitchen
Busch Light,https://speedwaymedia.com/2026/04/08/team-chevy-nascar-race-advance-bristol-motor-speedway-5/,,speedwaymedia.com,2026-04-08 21:30:00,bq_candidate_scrape,secondary,,Tier 3,0.6,2026-04-08,43,2026 Cook Out 400,43_Busch Light
Castrol,https://speedwaymedia.com/2026/04/27/rfk-racing-talladega-race-summary/,,speedwaymedia.com,2026-04-27 13:30:00,bq_candidate_scrape,secondary,,Tier 3,0.6,2026-04-27,46,2026 Jack Link's 500,46_Castrol
Castrol,https://speedwaymedia.com/2026/04/23/rfk-racing-talladega-i-advance/,,speedwaymedia.com,2026-04-23 21:00:00,bq_candidate_scrape,passing,,Tier 3,0.6,2026-04-23,45,2026 AdventHealth 400,45_Castrol
Castrol,https://www.motorsport.com/nascar-cup/news/chris-buescher-signs-multi-year-contract-extension-with-rfk-racing/10830863/,,motorsport.com,2026-06-16 15:45:00,bq_candidate_scrape,passing,,Tier 2,0.8,2026-06-16,52,2026 Great American Getaway 400,52_Castrol
