date,Austin Hill,cheddar's Scratch Kitchen
2025-01-01,26,18
2025-01-02,27,22
2025-01-03,35,20
2025-01-04,35,18
2025-01-05,32,20
2025-01-06,27,9
2025-01-07,31,15
2025-01-08,36,13
2025-01-09,22,8
2025-01-10,32,18
2025-01-11,40,18
2025-01-12,37,15
2025-01-13,44,12
2025-01-14,29,17
2025-01-15,33,11
2025-01-16,31,15
2025-01-17,32,14
2025-01-18,36,24
2025-01-19,33,19
2025-01-20,25,0
2025-01-21,34,0
2025-01-22,35,10
2025-01-23,40,13
2025-01-24,30,0
2025-01-25,31,21
2025-01-26,30,32
2025-01-27,21,10
2025-01-28,40,9
2025-01-29,38,14
2025-01-30,25,14
2025-01-31,27,15
2025-02-01,26,18
2025-02-02,30,15
2025-02-03,30,10
2025-02-04,31,12
2025-02-05,38,0
2025-02-06,31,12
2025-02-07,33,25
2025-02-08,28,11
2025-02-09,26,14
2025-02-10,26,0
2025-02-11,41,8
2025-02-12,33,0
2025-02-13,28,10
2025-02-14,34,10
2025-02-15,57,28
2025-02-16,50,32
2025-02-17,37,16
2025-02-18,44,14
2025-02-19,38,8
2025-02-20,35,32
2025-02-21,32,16
2025-02-22,32,21
2025-02-23,100,27
2025-02-24,41,0
2025-02-25,43,15
2025-02-26,38,11
2025-02-27,37,15
2025-02-28,23,15
2025-03-01,43,22
2025-03-02,36,17
2025-03-03,29,0
2025-03-04,35,10
2025-03-05,26,0
2025-03-06,43,15
2025-03-07,30,15
2025-03-08,38,27
2025-03-09,26,18
2025-03-10,37,12
2025-03-11,36,12
2025-03-12,27,0
2025-03-13,29,12
2025-03-14,28,9
2025-03-15,41,15
2025-03-16,35,13
2025-03-17,26,18
2025-03-18,29,12
2025-03-19,33,18
2025-03-20,26,19
2025-03-21,41,16
2025-03-22,41,24
2025-03-23,37,19
2025-03-24,37,11
2025-03-25,40,0
2025-03-26,27,10
2025-03-27,38,13
2025-03-28,30,16
2025-03-29,37,20
2025-03-30,53,14
2025-03-31,37,8
2025-04-01,37,14
2025-04-02,38,8
2025-04-03,39,15
2025-04-04,33,13
2025-04-05,41,26
2025-04-06,36,20
2025-04-07,36,16
2025-04-08,37,14
2025-04-09,33,13
2025-04-10,27,20
2025-04-11,33,12
2025-04-12,40,23
2025-04-13,31,20
2025-04-14,34,11
2025-04-15,36,10
2025-04-16,38,11
2025-04-17,32,17
2025-04-18,27,0
2025-04-19,26,13
2025-04-20,31,18
2025-04-21,38,8
2025-04-22,30,10
2025-04-23,29,0
2025-04-24,41,14
2025-04-25,29,18
2025-04-26,58,12
2025-04-27,49,20
2025-04-28,34,11
2025-04-29,34,12
2025-04-30,34,0
2025-05-01,29,17
2025-05-02,31,14
2025-05-03,36,14
2025-05-04,25,27
2025-05-05,31,0
2025-05-06,32,15
2025-05-07,29,10
2025-05-08,28,18
2025-05-09,42,14
2025-05-10,33,27
2025-05-11,34,25
2025-05-12,39,12
2025-05-13,31,13
2025-05-14,34,14
2025-05-15,35,18
2025-05-16,31,0
2025-05-17,25,31
2025-05-18,30,18
2025-05-19,34,8
2025-05-20,30,0
2025-05-21,32,12
2025-05-22,32,22
2025-05-23,32,10
2025-05-24,41,22
2025-05-25,29,14
2025-05-26,41,0
2025-05-27,41,9
2025-05-28,38,0
2025-05-29,34,9
2025-05-30,39,11
2025-05-31,38,18
2025-06-01,36,18
2025-06-02,39,13
2025-06-03,54,10
2025-06-04,33,10
2025-06-05,43,11
2025-06-06,23,16
2025-06-07,37,19
2025-06-08,38,15
2025-06-09,37,10
2025-06-10,39,12
2025-06-11,36,9
2025-06-12,33,22
2025-06-13,45,15
2025-06-14,37,17
2025-06-15,32,24
2025-06-16,47,15
2025-06-17,37,12
2025-06-18,37,12
2025-06-19,37,17
2025-06-20,48,17
2025-06-21,36,19
2025-06-22,35,23
2025-06-23,36,15
2025-06-24,39,9
2025-06-25,45,15
2025-06-26,29,21
2025-06-27,39,18
2025-06-28,38,14
2025-06-29,33,23
2025-06-30,33,8
