date,Brad Keselowski,Castrol
2025-01-01,0,53
2025-01-02,0,55
2025-01-03,0,59
2025-01-04,0,74
2025-01-05,0,51
2025-01-06,0,59
2025-01-07,0,51
2025-01-08,0,68
2025-01-09,0,51
2025-01-10,0,68
2025-01-11,0,61
2025-01-12,0,62
2025-01-13,0,56
2025-01-14,0,58
2025-01-15,0,57
2025-01-16,0,70
2025-01-17,0,65
2025-01-18,0,72
2025-01-19,0,69
2025-01-20,0,62
2025-01-21,0,54
2025-01-22,0,44
2025-01-23,0,63
2025-01-24,0,68
2025-01-25,0,63
2025-01-26,0,58
2025-01-27,0,53
2025-01-28,0,57
2025-01-29,0,52
2025-01-30,14,54
2025-01-31,0,69
2025-02-01,14,66
2025-02-02,13,66
2025-02-03,0,56
2025-02-04,0,80
2025-02-05,0,69
2025-02-06,0,60
2025-02-07,10,75
2025-02-08,0,75
2025-02-09,0,63
2025-02-10,0,65
2025-02-11,0,51
2025-02-12,10,50
2025-02-13,13,68
2025-02-14,24,69
2025-02-15,0,91
2025-02-16,100,57
2025-02-17,63,69
2025-02-18,0,65
2025-02-19,0,68
2025-02-20,0,62
2025-02-21,0,62
2025-02-22,12,62
2025-02-23,34,59
2025-02-24,0,63
2025-02-25,13,66
2025-02-26,0,59
2025-02-27,0,70
2025-02-28,0,72
2025-03-01,11,80
2025-03-02,14,71
2025-03-03,42,55
2025-03-04,22,48
2025-03-05,14,64
2025-03-06,10,65
2025-03-07,0,78
2025-03-08,0,73
2025-03-09,17,57
2025-03-10,0,76
2025-03-11,0,84
2025-03-12,0,68
2025-03-13,0,71
2025-03-14,0,65
2025-03-15,0,68
2025-03-16,14,72
2025-03-17,0,73
2025-03-18,0,66
2025-03-19,0,56
2025-03-20,0,65
2025-03-21,0,64
2025-03-22,0,77
2025-03-23,12,75
2025-03-24,0,61
2025-03-25,0,62
2025-03-26,0,56
2025-03-27,0,68
2025-03-28,0,67
2025-03-29,0,59
2025-03-30,18,67
2025-03-31,13,50
2025-04-01,11,65
2025-04-02,0,50
2025-04-03,0,67
2025-04-04,0,64
2025-04-05,0,63
2025-04-06,17,51
2025-04-07,0,65
2025-04-08,0,62
2025-04-09,0,67
2025-04-10,0,59
2025-04-11,0,67
2025-04-12,0,81
2025-04-13,19,58
2025-04-14,0,69
2025-04-15,0,61
2025-04-16,0,57
2025-04-17,0,75
2025-04-18,0,67
2025-04-19,0,75
2025-04-20,0,59
2025-04-21,0,67
2025-04-22,0,76
2025-04-23,0,66
2025-04-24,0,69
2025-04-25,0,50
2025-04-26,16,60
2025-04-27,36,46
2025-04-28,0,60
2025-04-29,0,84
2025-04-30,0,64
2025-05-01,0,83
2025-05-02,0,70
2025-05-03,53,78
2025-05-04,22,60
2025-05-05,9,66
2025-05-06,0,57
2025-05-07,0,64
2025-05-08,0,68
2025-05-09,0,89
2025-05-10,0,66
2025-05-11,31,86
2025-05-12,0,70
2025-05-13,0,57
2025-05-14,0,73
2025-05-15,0,70
2025-05-16,0,61
2025-05-17,0,73
2025-05-18,15,58
2025-05-19,23,67
2025-05-20,0,71
2025-05-21,0,77
2025-05-22,0,75
2025-05-23,0,74
2025-05-24,0,60
2025-05-25,13,53
2025-05-26,40,65
2025-05-27,16,57
2025-05-28,11,52
2025-05-29,0,68
2025-05-30,0,62
2025-05-31,0,72
2025-06-01,0,69
2025-06-02,17,78
2025-06-03,0,69
2025-06-04,10,72
2025-06-05,0,66
2025-06-06,0,65
2025-06-07,0,68
2025-06-08,29,58
2025-06-09,0,71
2025-06-10,0,73
2025-06-11,0,65
2025-06-12,0,47
2025-06-13,0,56
2025-06-14,0,65
2025-06-15,0,58
2025-06-16,0,64
2025-06-17,0,55
2025-06-18,0,61
2025-06-19,0,75
2025-06-20,0,64
2025-06-21,11,64
2025-06-22,30,70
2025-06-23,17,64
2025-06-24,0,69
2025-06-25,0,66
2025-06-26,0,75
2025-06-27,0,73
2025-06-28,11,63
2025-06-29,65,64
2025-06-30,0,66
