date,Denny Hamlin,Progressive
2025-01-01,0,45
2025-01-02,0,75
2025-01-03,0,75
2025-01-04,0,54
2025-01-05,0,44
2025-01-06,0,77
2025-01-07,0,75
2025-01-08,0,73
2025-01-09,0,70
2025-01-10,0,72
2025-01-11,1,55
2025-01-12,0,48
2025-01-13,0,77
2025-01-14,0,76
2025-01-15,0,68
2025-01-16,0,79
2025-01-17,0,77
2025-01-18,0,55
2025-01-19,0,49
2025-01-20,0,58
2025-01-21,0,69
2025-01-22,0,71
2025-01-23,0,79
2025-01-24,0,76
2025-01-25,0,54
2025-01-26,0,45
2025-01-27,0,78
2025-01-28,0,78
2025-01-29,0,75
2025-01-30,0,71
2025-01-31,0,75
2025-02-01,1,58
2025-02-02,1,48
2025-02-03,4,83
2025-02-04,1,78
2025-02-05,0,74
2025-02-06,0,75
2025-02-07,0,74
2025-02-08,0,54
2025-02-09,0,46
2025-02-10,0,69
2025-02-11,0,77
2025-02-12,1,77
2025-02-13,1,76
2025-02-14,1,73
2025-02-15,1,63
2025-02-16,7,52
2025-02-17,8,65
2025-02-18,1,77
2025-02-19,1,75
2025-02-20,0,80
2025-02-21,1,77
2025-02-22,1,60
2025-02-23,2,48
2025-02-24,1,88
2025-02-25,0,84
2025-02-26,0,81
2025-02-27,0,83
2025-02-28,0,90
2025-03-01,1,59
2025-03-02,1,52
2025-03-03,1,84
2025-03-04,1,85
2025-03-05,0,81
2025-03-06,0,79
2025-03-07,0,75
2025-03-08,1,57
2025-03-09,2,49
2025-03-10,1,76
2025-03-11,0,77
2025-03-12,0,75
2025-03-13,0,77
2025-03-14,0,73
2025-03-15,1,57
2025-03-16,2,50
2025-03-17,1,82
2025-03-18,1,77
2025-03-19,1,81
2025-03-20,1,71
2025-03-21,1,72
2025-03-22,1,57
2025-03-23,2,47
2025-03-24,0,73
2025-03-25,1,74
2025-03-26,0,73
2025-03-27,0,72
2025-03-28,0,71
2025-03-29,0,56
2025-03-30,6,47
2025-03-31,3,77
2025-04-01,1,77
2025-04-02,0,74
2025-04-03,1,76
2025-04-04,1,73
2025-04-05,1,55
2025-04-06,4,48
2025-04-07,2,77
2025-04-08,1,75
2025-04-09,3,73
2025-04-10,3,71
2025-04-11,1,72
2025-04-12,0,55
2025-04-13,2,44
2025-04-14,1,71
2025-04-15,1,73
2025-04-16,0,76
2025-04-17,0,72
2025-04-18,0,68
2025-04-19,0,53
2025-04-20,1,39
2025-04-21,0,81
2025-04-22,0,78
2025-04-23,0,73
2025-04-24,1,74
2025-04-25,0,73
2025-04-26,0,52
2025-04-27,2,50
2025-04-28,1,80
2025-04-29,0,81
2025-04-30,0,72
2025-05-01,0,78
2025-05-02,1,69
2025-05-03,0,51
2025-05-04,3,46
2025-05-05,1,77
2025-05-06,1,77
2025-05-07,1,78
2025-05-08,1,100
2025-05-09,0,80
2025-05-10,1,53
2025-05-11,3,42
2025-05-12,1,75
2025-05-13,1,73
2025-05-14,1,70
2025-05-15,1,68
2025-05-16,0,71
2025-05-17,0,51
2025-05-18,1,46
2025-05-19,1,76
2025-05-20,0,75
2025-05-21,0,74
2025-05-22,0,70
2025-05-23,1,67
2025-05-24,0,50
2025-05-25,3,45
2025-05-26,5,49
2025-05-27,1,79
2025-05-28,1,82
2025-05-29,1,81
2025-05-30,0,76
2025-05-31,1,57
2025-06-01,7,47
2025-06-02,4,79
2025-06-03,1,76
2025-06-04,1,79
2025-06-05,1,73
2025-06-06,1,73
2025-06-07,1,52
2025-06-08,7,47
2025-06-09,3,79
2025-06-10,2,76
2025-06-11,2,67
2025-06-12,3,71
2025-06-13,3,66
2025-06-14,2,53
2025-06-15,6,44
2025-06-16,2,75
2025-06-17,1,86
2025-06-18,1,69
2025-06-19,1,65
2025-06-20,3,73
2025-06-21,1,55
2025-06-22,5,63
2025-06-23,1,77
2025-06-24,1,74
2025-06-25,1,72
2025-06-26,1,77
2025-06-27,1,75
2025-06-28,1,57
2025-06-29,2,50
2025-06-30,1,80
