date,Todd Gilliland,Love's Travel Stops
2024-12-29,24,0
2025-01-05,0,0
2025-01-12,0,0
2025-01-19,0,0
2025-01-26,0,0
2025-02-02,0,30
2025-02-09,60,0
2025-02-16,100,22
2025-02-23,78,0
2025-03-02,38,24
2025-03-09,24,0
2025-03-16,29,22
2025-03-23,0,24
2025-03-30,24,0
2025-04-06,0,0
2025-04-13,0,0
2025-04-20,0,35
2025-04-27,22,30
2025-05-04,0,27
2025-05-11,0,26
2025-05-18,0,27
2025-05-25,40,40
2025-06-01,0,26
2025-06-08,41,25
2025-06-15,0,35
2025-06-22,26,40
2025-06-29,0,29
2025-07-06,0,28
2025-07-13,0,32
2025-07-20,0,48
2025-07-27,31,58
2025-08-03,31,41
2025-08-10,0,33
2025-08-17,0,41
2025-08-24,0,23
2025-08-31,0,25
2025-09-07,28,32
2025-09-14,0,31
2025-09-21,0,26
2025-09-28,0,27
2025-10-05,0,27
2025-10-12,43,36
2025-10-19,62,42
2025-10-26,0,33
2025-11-02,0,30
2025-11-09,0,53
2025-11-16,0,54
2025-11-23,0,43
2025-11-30,0,51
2025-12-07,0,56
2025-12-14,0,33
2025-12-21,0,46
2025-12-28,0,40
2026-01-04,0,42
2026-01-11,0,41
2026-01-18,0,68
2026-01-25,0,52
2026-02-01,0,69
2026-02-08,20,65
2026-02-15,47,50
2026-02-22,31,55
2026-03-01,21,44
2026-03-08,29,37
2026-03-15,24,37
2026-03-22,0,31
2026-03-29,30,35
2026-04-05,0,60
2026-04-12,59,44
2026-04-19,28,48
2026-04-26,40,43
2026-05-03,0,41
2026-05-10,0,36
2026-05-17,0,52
2026-05-24,50,59
2026-05-31,50,66
2026-06-07,33,62
2026-06-14,51,59
2026-06-21,49,63
2026-06-28,14,35
