year,race_number,race_name,Race_Date,track,track_type,track_miles,total_laps,caution_flags,caution_laps,lead_changes,avg_speed_mph,pole_speed_mph,margin_of_victory,attendance,Finish_Position,Start_Position,car_number,Driver,Sponsor,Owner,car_make,Laps_Completed,status,Laps_Led,Points,loop_avg_speed,loop_green_flag_passes,loop_quality_passes,loop_fastest_lap,loop_driver_rating,Primary_Sponsor
2025,1,2025 Daytona 500,2025-02-16,Daytona International Speedway,,,,8,47,56,129.159,182.745,.113 sec,,27,14,34,Todd Gilliland,Love's Travel Stops,Bob Jenkins,Ford,199,running,0,20,,,,,,Love's Travel Stops
2025,1,2025 Daytona 500,2025-02-16,Daytona International Speedway,,,,8,47,56,129.159,182.745,.113 sec,,40,9,1,Ross Chastain,Busch Light,Trackhouse Racing,Chevrolet,70,crash,0,8,,,,,,Busch Light
2025,2,2025 Ambetter Health 400,2025-02-23,Atlanta Motor Speedway,,,,11,63,50,118.384,179.371,under caution,,7,6,8,Kyle Busch,Cheddar's Scratch Kitchen,Richard Childress,Chevrolet,266,running,13,30,,,,,,Cheddar's Scratch Kitchen
2025,3,2025 EchoPark Automotive Grand Prix,2025-03-02,Circuit of the Americas,road course,2.4,95.0,4,15,20,73.025,88.095,.433 sec,,10,10,34,Todd Gilliland,Love's Travel Stops,Bob Jenkins,Ford,95,running,0,27,,,,,,Love's Travel Stops
2025,3,2025 EchoPark Automotive Grand Prix,2025-03-02,Circuit of the Americas,road course,2.4,95.0,4,15,20,73.025,88.095,.433 sec,,12,9,1,Ross Chastain,Busch Light For the Love of Texas,Trackhouse Racing,Chevrolet,95,running,0,25,,,,,,Busch Light
2025,3,2025 EchoPark Automotive Grand Prix,2025-03-02,Circuit of the Americas,road course,2.4,95.0,4,15,20,73.025,88.095,.433 sec,,15,26,6,Brad Keselowski,Castrol,Jack Roush,Ford,95,running,0,22,,,,,,Castrol
2025,5,2025 Pennzoil 400,2025-03-16,Las Vegas Motor Speedway,paved track,1.5,267.0,9,53,32,124.368,186.961,1.358 sec,,11,27,6,Brad Keselowski,Castrol,Jack Roush,Ford,267,running,0,26,,,,,,Castrol
2025,5,2025 Pennzoil 400,2025-03-16,Las Vegas Motor Speedway,paved track,1.5,267.0,9,53,32,124.368,186.961,1.358 sec,,29,32,34,Todd Gilliland,Love's Travel Stops,Bob Jenkins,Ford,265,running,0,8,,,,,,Love's Travel Stops
2025,6,2025 Straight Talk Wireless 400,2025-03-23,Homestead-Miami Speedway,paved track,1.5,267.0,4,27,27,131.876,168.845,1.205 sec,,30,29,34,Todd Gilliland,Love's Travel Stops,Bob Jenkins,Ford,266,running,0,7,,,,,,Love's Travel Stops
2025,8,2025 Goodyear 400,2025-04-06,Darlington Raceway,,,,8,45,4,120.965,170.904,.597 sec,,7,25,1,Ross Chastain,Busch Light Fishing,Trackhouse Racing,Chevrolet,297,running,0,30,,,,,,Busch Light
2025,8,2025 Goodyear 400,2025-04-06,Darlington Raceway,,,,8,45,4,120.965,170.904,.597 sec,,10,8,8,Kyle Busch,Cheddar's Scratch Kitchen,Richard Childress,Chevrolet,297,running,0,27,,,,,,Cheddar's Scratch Kitchen
2025,8,2025 Goodyear 400,2025-04-06,Darlington Raceway,,,,8,45,4,120.965,170.904,.597 sec,,33,20,6,Brad Keselowski,Castrol Seven Critical Areas,Jack Roush,Ford,295,running,0,9,,,,,,Castrol
2025,9,2025 Food City 500,2025-04-13,Bristol Motor Speedway,paved track,0.533,500.0,3,40,4,100.746,128.675,2.250 sec,,7,35,1,Ross Chastain,Busch Light Flannel,Trackhouse Racing,Chevrolet,500,running,0,30,,,,,,Busch Light
2025,9,2025 Food City 500,2025-04-13,Bristol Motor Speedway,paved track,0.533,500.0,3,40,4,100.746,128.675,2.250 sec,,14,15,8,Kyle Busch,Cheddar's Scratch Kitchen,Richard Childress,Chevrolet,499,running,0,23,,,,,,Cheddar's Scratch Kitchen
2025,9,2025 Food City 500,2025-04-13,Bristol Motor Speedway,paved track,0.533,500.0,3,40,4,100.746,128.675,2.250 sec,,35,30,34,Todd Gilliland,Love's Travel Stops,Bob Jenkins,Ford,493,running,0,2,,,,,,Love's Travel Stops
2025,10,2025 Jack Links 500,2025-04-27,Talladega Superspeedway,paved track,2.66,188.0,4,22,67,157.203,182.174,.022 sec,,16,15,34,Todd Gilliland,Love's Travel Stops,Bob Jenkins,Ford,188,running,0,26,,,,,,Love's Travel Stops
2025,11,2025 Wurth 400 Presented by LIQUI MOLY,2025-05-04,Texas Motor Speedway,,,,12,73,20,116.885,191.659,.346 sec,,11,32,34,Todd Gilliland,Love's Travel Stops,Bob Jenkins,Ford,271,running,4,26,,,,,,Love's Travel Stops
2025,12,2025 AdventHealth 400,2025-05-11,Kansas Speedway,paved track,1.5,267.0,7,37,15,129.74,183.73,.712 sec,,12,23,34,Todd Gilliland,Love's Travel Stops,Bob Jenkins,Ford,267,running,0,25,,,,,,Love's Travel Stops
2025,12,2025 AdventHealth 400,2025-05-11,Kansas Speedway,paved track,1.5,267.0,7,37,15,129.74,183.73,.712 sec,,18,26,1,Ross Chastain,Busch Light,Trackhouse Racing,Chevrolet,267,running,0,19,,,,,,Busch Light
2025,14,2025 Cracker Barrel 400,2025-06-01,Nashville Superspeedway,paved track,1.333,300.0,7,35,18,129.068,164.395,2.830 sec,,11,5,1,Ross Chastain,Busch Country,Trackhouse Racing,Chevrolet,300,running,0,27,,,,,,Busch Light
2025,14,2025 Cracker Barrel 400,2025-06-01,Nashville Superspeedway,paved track,1.333,300.0,7,35,18,129.068,164.395,2.830 sec,,22,35,34,Todd Gilliland,Love's Travel Stops,Bob Jenkins,Ford,300,running,0,15,,,,,,Love's Travel Stops
2025,15,2025 Firekeepers Casino 400,2025-06-08,Michigan International Speedway,paved track,2.0,200.0,7,33,15,142.574,195.514,1.099 sec,,6,20,1,Ross Chastain,Busch Light Apple,Trackhouse Racing,Chevrolet,200,running,0,37,,,,,,Busch Light
2025,16,2025 Viva Mexico 250,2025-06-15,Autodromo Hermanos Rodriguez,road course,2.42,100.0,6,16,14,74.82,93.904,16.567 sec,,25,30,6,Brad Keselowski,Castrol,Jack Roush,Ford,100,running,0,12,,,,,,Castrol
2025,17,2025 The Great American Getaway 400,2025-06-22,Pocono Raceway,paved track,2.5,160.0,7,31,11,130.199,172.599,.682 sec,,26,21,1,Ross Chastain,Busch Light Apple,Trackhouse Racing,Chevrolet,160,running,0,11,,,,,,Busch Light
2025,19,2025 Grant Park 165,2025-07-06,Chicago Street Course,street course,2.2,75.0,7,15,6,66.764,88.338,under caution,,10,22,1,Ross Chastain,Busch Light Apple,Trackhouse Racing,Chevrolet,75,running,0,32,,,,,,Busch Light
2025,20,2025 Toyota / Save Mart 350,2025-07-13,Sonoma Raceway,road course,1.99,110.0,6,17,12,75.087,96.04,1.128 sec,,11,21,6,Brad Keselowski,Castrol,Jack Roush,Ford,110,running,0,26,,,,,,Castrol
2025,20,2025 Toyota / Save Mart 350,2025-07-13,Sonoma Raceway,road course,1.99,110.0,6,17,12,75.087,96.04,1.128 sec,,22,35,34,Todd Gilliland,Love's Travel Stops,Bob Jenkins,Ford,110,running,0,15,,,,,,Love's Travel Stops
2025,21,2025 Autotrader EchoPark Automotive 400,2025-07-20,Dover Motor Speedway,,,,8,50,13,110.849,,.310 sec,,11,10,8,Kyle Busch,Cheddar's Patriotic,Richard Childress,Chevrolet,407,running,0,29,,,,,,Cheddar's Scratch Kitchen
2025,21,2025 Autotrader EchoPark Automotive 400,2025-07-20,Dover Motor Speedway,,,,8,50,13,110.849,,.310 sec,,25,24,34,Todd Gilliland,Love's Travel Stops,Bob Jenkins,Ford,405,running,0,12,,,,,,Love's Travel Stops
