primary_sponsor,race_number,Visibility_Score_Shifted
Busch Light,1,0.86
Love's Travel Stops,1,0.20999999999999996
Cheddar's Scratch Kitchen,2,0.59
Busch Light,3,0.8099999999999999
Castrol,3,0.84
Love's Travel Stops,3,0.27999999999999997
Castrol,5,0.86
Love's Travel Stops,5,0.15000000000000002
Love's Travel Stops,6,0.10999999999999999
Progressive,6,1.49
Progressive,7,1.99
Busch Light,8,0.87
Castrol,8,1.02
Cheddar's Scratch Kitchen,8,0.5599999999999999
Busch Light,9,0.8099999999999999
Cheddar's Scratch Kitchen,9,0.6
Love's Travel Stops,9,0.13
Progressive,9,1.69
Love's Travel Stops,10,0.17999999999999994
Progressive,10,1.56
Love's Travel Stops,11,0.15000000000000002
Progressive,11,1.33
Busch Light,12,1.12
Love's Travel Stops,12,0.17999999999999994
Progressive,12,1.89
Busch Light,14,0.7
Love's Travel Stops,14,0.15000000000000002
Progressive,14,1.75
Busch Light,15,0.79
Castrol,16,0.6699999999999999
Busch Light,17,0.5599999999999999
Progressive,17,1.43
Busch Light,19,0.87
Progressive,19,1.3599999999999999
Castrol,20,0.32
Love's Travel Stops,20,0.26
Cheddar's Scratch Kitchen,21,1.13
Love's Travel Stops,21,0.05999999999999994
Progressive,21,0.99
Busch Light,22,0.7
Progressive,22,1.5
Busch Light,23,0.26
Cheddar's Scratch Kitchen,23,0.55
Love's Travel Stops,23,0.18999999999999995
Busch Light,24,0.13
Progressive,24,1.23
Love's Travel Stops,25,0.0
Progressive,25,0.36
Cheddar's Scratch Kitchen,26,0.58
Busch Light,27,0.05999999999999994
Busch Light,28,0.36
Progressive,28,0.97
Castrol,29,0.13
Love's Travel Stops,29,0.0
Progressive,30,0.32999999999999996
Cheddar's Scratch Kitchen,31,0.3
Busch Light,32,0.26
Castrol,32,0.22999999999999998
Love's Travel Stops,32,0.05999999999999994
Progressive,32,1.71
Love's Travel Stops,33,0.42
Busch Light,34,0.29
Cheddar's Scratch Kitchen,34,2.71
Love's Travel Stops,34,0.32
Busch Light,36,1.94
Castrol,36,2.5300000000000002
Cheddar's Scratch Kitchen,36,6.279999999999999
Love's Travel Stops,36,1.2
Progressive,36,6.32
Busch Light,37,0.19999999999999996
Castrol,37,0.48
Love's Travel Stops,37,0.38
Cheddar's Scratch Kitchen,38,0.84
Love's Travel Stops,38,0.030000000000000027
Busch Light,39,0.13
Love's Travel Stops,39,0.030000000000000027
Cheddar's Scratch Kitchen,41,0.10999999999999999
Love's Travel Stops,41,0.030000000000000027
Busch Light,44,0.09999999999999998
Love's Travel Stops,44,0.10999999999999999
Busch Light,45,0.42
Love's Travel Stops,45,0.0
Castrol,46,0.47
Cheddar's Scratch Kitchen,46,0.22999999999999998
Love's Travel Stops,46,0.09999999999999998
Love's Travel Stops,47,0.0
Progressive,47,0.87
Busch Light,48,0.3
Progressive,48,0.8
Busch Light,50,0.19999999999999996
Love's Travel Stops,50,0.09999999999999998
Progressive,50,1.12
Busch Light,51,0.13
Love's Travel Stops,51,0.030000000000000027
Busch Light,52,0.09999999999999998
Castrol,52,0.26
Love's Travel Stops,52,0.030000000000000027
